Rank,RollNo,Course
1,6006070,B4110 
2,6015069,B4110 
3,2048165,B4110 
4,2032149,D4110 
5,1083251,B4110 
6,2050141,B4110 
7,6001059,B4111 
9,5033034,D4110 
10,2052180,B4110 
11,2047038,B4110 
12,1079274,B4110 
13,5008005,B4110 
14,2051118,B4110 
15,1014133,B4110 
16,6011179,B4110 
18,6005115,B4110 
19,1019245,B4111 
20,1014026,B4110 
21,6046095,B4110 
22,1072126,B4110 
23,2038025,D4110 
24,2053243,B4125 
25,6027236,B4110 
26,6015278,B4110 
28,2061012,B4110 
29,1072054,B4110 
31,1076249,B4110 
32,6023155,B4110 
33,4033099,B4110 
34,2028228,D4110 
35,6027014,B4110 
37,3005193,B4110 
39,1089012,B4110 
40,4013176,D4110 
42,6005215,B4111 
43,1038036,B4110 
44,6009083,B4110 
45,6027283,B4110 
46,2027152,D4110 
48,1030027,B4110 
49,6017065,B4110 
51,5052198,D4110 
150,2054206,D4111 
151,1036140,B5221 
152,1072074,D5216 
154,6041275,D4111 
155,1033111,B5221 
156,6011242,M4110 
157,1024203,B5221 
159,1044132,B4125 
160,2027267,D5216 
162,6007087,M4110 
163,2063126,D5216 
164,6041041,M4110 
166,1050216,B4125 
167,5010087,D4111 
168,6002255,M4110 
169,2044051,D4111 
170,6027158,D4111 
171,2061229,K4110 
172,2039162,D5216 
173,1016062,D5216 
174,1062011,D5216 
175,2016120,D4111 
176,6027042,M4110 
177,6046122,D4111 
179,6032062,M4110 
181,2019191,K4111 
182,2041263,D4111 
183,7014206,D4111 
184,4007401,K4110 
187,2055148,D4111 
189,2024010,D5216 
190,4014373,K4110 
191,1077142,K4110 
192,4002370,B5219 
193,1054188,K4110 
194,3003197,K4204 
195,6009154,M4110 
196,6065163,B4125 
197,4016378,D4111 
198,7024078,D5216 
199,2054031,K4110 
200,6007123,B4125 
298,6024014,G4110 
299,2065097,D4111 
300,4020105,K4110 
301,1034116,B4125 
302,2031099,B5219 
303,1085237,K4110 
304,6026012,M5216 
305,4003420,K4110 
306,1022099,B4125 
307,1019207,K4110 
308,2067076,G4110 
309,6011112,G4110 
310,2039077,K4111 
311,3023010,G4110 
312,1075195,B4125 
313,1029198,G4110 
316,5052189,G4110 
317,5018048,D4125 
318,6074269,B4125 
318,2006269,B4125 
320,6079002,M4111 
321,7014282,G4110 
322,2061212,B4125 
323,1047297,B5219 
324,6041091,G4110 
325,4029030,K4111 
326,2062308,D4125 
327,7014191,B5219 
328,7030168,K4111 
329,2045242,B4125 
330,6047158,G4110 
331,2051038,G4110 
332,1065230,B4125 
333,6014208,M5216 
334,1026163,B4125 
335,2064199,D4125 
337,5034354,K4125 
339,6014040,G4110 
340,2006275,G4110 
341,1055217,B5219 
342,6059246,G4110 
344,6009047,M4111 
345,2061235,K4111 
346,6001076,B4125 
451,2041192,D4125 
452,7014156,R4110 
453,6083109,M4111 
454,1066026,G5216 
455,6023112,D4125 
456,2061267,G5216 
457,7017180,M5216 
458,5012036,K4111 
459,1080188,M5216 
460,1061300,K4111 
461,7015444,M5216 
462,5033178,G5216 
463,2010184,D5254 
464,1013178,B4125 
465,1071265,K4111 
466,1075090,K4111 
467,2034031,B4125 
469,7003181,G4115 
470,6001104,M5216 
471,1028081,R4110 
473,1081204,G5216 
474,6002033,M4111 
475,4028019,K4111 
476,6020046,M4111 
477,2047008,B4125 
478,1085109,G5216 
479,5003385,G5216 
481,1081121,G5216 
482,2061070,K4111 
483,7007143,D5254 
484,1028172,B4125 
485,7008061,G5216 
486,6038256,M4111 
487,1055250,K4111 
488,1046218,B4125 
489,4009027,K4111 
490,2043267,B4117 
491,5014175,D4125 
492,6059063,M4111 
493,6009001,B4101 
494,2051136,R4110 
495,1075263,R4110 
496,2018026,K4111 
497,5011100,D4125 
600,6010246,M4111 
601,4004423,D4125 
602,2062213,M4111 
603,6024117,M4125 
604,1073167,D4112 
606,3012088,D4125 
607,3019060,R4110 
608,5003158,D4125 
609,4004263,R4110 
610,3009046,G4115 
613,6016022,R4110 
614,2012221,D5254 
615,6006048,M4125 
616,7019313,D4125 
617,1019061,D4125 
618,7013207,R4110 
619,1036174,K4111 
620,6008278,G4115 
621,1044089,B4117 
622,2011189,D5254 
623,6011173,K4111 
624,7004285,B5234 
625,1044038,B5235 
627,4009240,B4117 
629,4040001,K4111 
630,2007161,D4125 
631,1086221,B5235 
632,2048026,D4112 
633,6046022,G4115 
635,6015199,H4110 
636,5002250,G4115 
638,2003130,D5254 
640,1080064,K4111 
641,4029424,R4110 
642,2053225,K4111 
643,6045028,M4125 
644,1036006,K4111 
