Rank ,RollNo,InstituteCode,CourseCode
1,4001173,102,4110
2,2034201,102,4110
3,2035147,102,4110
4,6001239,102,4110
5,1002252,102,4110
6,6005074,102,4110
7,7001187,102,4110
8,6001238,102,4110
9,6037138,102,4111
10,6015161,102,4110
11,6016022,102,4110
12,6005062,102,4110
13,6015267,102,4110
14,6001225,102,4110
15,2034258,102,4110
16,6005154,102,4110
17,6007129,102,4110
18,1044151,102,4110
19,6001246,102,4110
20,7001214,102,4110
21,1042040,102,4110
22,1031131,102,4110
23,1045382,102,4110
24,1044448,102,4110
25,6003002,102,4110
27,6037139,102,4111
28,6005176,102,4110
29,1016248,102,4110
30,7015135,102,4110
31,2012040,104,4110
32,7012013,102,4110
33,4002103,102,4110
34,1015362,102,4110
35,6005167,102,4110
36,1045257,102,4110
37,7015163,102,4110
38,1044115,102,4110
39,6039303,102,4110
40,1044438,102,4110
41,7002125,102,4110
42,1024142,102,4110
43,4006214,102,4110
44,1007090,102,4110
45,1016305,102,4110
46,2018360,104,4110
47,2039157,102,4110
48,2033237,102,4110
49,6015258,102,4110
50,1046075,102,4110
51,1024059,102,4110
52,1022218,102,4110
53,7011034,104,4110
54,1047182,102,4110
55,1016193,102,4110
56,1032097,102,4111
57,5025384,102,4110
58,1043110,102,4110
59,1042406,102,4110
60,6005164,104,4110
61,6003259,110,4111
62,6018107,104,4110
63,1045046,104,4110
64,6007104,104,4110
65,1015062,102,4111
66,1002265,102,4111
67,6004098,104,4110
68,7002133,104,4110
69,4008068,104,4110
72,5036056,104,4110
73,7016097,109,4110
74,1031045,104,4110
75,5038040,102,4111
76,6006049,104,4110
77,1042451,104,4110
78,7008265,104,4110
80,6081024,110,4110
81,7012018,104,4110
82,6042284,104,4110
83,2001380,104,4110
84,1031068,110,4110
85,4006155,104,4110
86,7023097,104,4110
87,1007167,104,4110
88,2034261,102,4111
89,7008043,104,4110
90,1032131,102,4111
91,2023109,104,4110
92,7013062,104,4110
93,7022001,104,4110
94,3013059,104,4110
95,7008093,104,4110
96,1064113,104,4110
97,7006084,102,4125
99,1044436,104,4110
100,6003172,104,4110
101,3015016,104,4110
102,1040062,104,4110
103,6037150,110,4110
104,6004177,110,4110
105,5040014,109,4110
106,2046181,104,5216
