Rank,RollNo,InstituteCode,CourseCode
1,1064086,102,4110
2,7003238,102,4110
3,1062285,102,4110
4,6051258,102,4110
5,6047233,102,4110
6,2038375,102,4117
7,6036226,102,4110
8,6049177,102,4110
9,1058126,102,4110
10,6039233,102,4110
11,2044149,102,4110
12,6034261,102,4110
13,6018153,102,4110
14,1067086,102,4110
15,6001010,102,4110
16,1032204,102,4110
17,1068098,102,4110
18,1056318,102,4110
19,2016077,102,4110
20,5002200,102,4110
21,1026116,102,4110
22,6042224,102,4111
23,2033337,102,4110
24,2018091,104,4110
25,6016148,102,4110
26,1027189,102,4125
27,1068113,102,4110
28,6040227,102,4110
29,4004251,102,4110
30,6016147,102,4110
31,2020124,102,4110
32,1057170,102,4110
33,3017094,102,4110
34,2001365,102,4110
35,6017208,102,4110
36,1062168,102,4110
37,1046172,102,4110
38,2026160,102,4110
39,1019111,102,4110
40,2021183,102,4110
41,2041265,102,4110
42,6045281,102,4110
43,6014130,102,4111
44,2032159,102,4110
45,1044400,102,4110
46,1044150,102,4110
47,1018058,102,4110
48,1069165,102,4110
49,6036235,102,4110
50,1065165,102,4110
51,6028107,102,4110
52,7007080,102,4110
53,2017172,104,4110
54,1052085,102,4110
55,1073084,102,4110
56,2018086,104,4110
57,1060103,102,4110
58,1058184,102,4110
59,1068148,102,4110
60,1014151,102,4110
61,7007146,104,4110
62,6053105,110,4110
63,2049109,104,4110
64,4037123,104,4110
66,6045264,110,4110
67,6038281,110,4110
68,2019182,104,4110
69,6038212,104,4110
70,7011121,104,4110
71,6014064,104,4110
72,1085075,104,4110
73,6102053,110,4110
74,1072091,104,4110
75,2037300,104,4110
77,6027234,104,4110
78,6038179,104,4110
79,4003230,104,4110
80,6037281,104,4111
81,2003203,104,4110
82,4004241,104,4110
83,1023228,104,4110
84,1054080,102,4111
85,1043273,102,4111
86,6026157,104,4110
87,2042267,104,4110
89,7030111,104,4110
90,6023194,110,4110
91,1005061,104,4110
92,1044112,102,4111
93,5060234,104,4110
94,7002121,102,4111
95,7022141,102,4111
96,1059151,104,4110
97,1016157,104,4110
98,1030142,102,4111
100,1069149,104,4110
101,6050259,104,4110
102,6087089,102,4111
104,6044262,104,4110
106,1023184,104,4110
107,2033139,104,4110
108,1051081,102,4111
110,1067165,104,4110
111,2003287,104,4110
112,4001118,102,4111
113,4028093,109,4110
114,6048263,110,4110
115,7017098,104,4110
116,7020192,102,4111
117,1070328,109,4110
118,6038161,110,4110
119,6012158,110,4110
120,4029078,109,4110
121,1044296,102,4111
123,1005096,102,4111
124,2027177,104,5216
125,1059110,109,4110
126,1058278,109,4110
127,7003173,104,5216
129,2010191,104,5216
130,1006074,110,4110
131,1061079,109,4110
