Rank,RollNo,InsituteCode,CourseCode
1,7003005,102,4110
2,1058120,102,4110
3,2016019,104,4110
5,2033095,102,4110
6,2067357,102,4110
7,7001079,102,4110
8,1021224,102,4110
9,7004411,102,4110
11,2028305,102,4110
12,1013143,102,4110
13,4001366,102,4110
14,2020218,102,4110
15,1068160,102,4110
16,1065298,102,4110
17,6015145,102,4110
18,2026090,102,4110
19,1070035,102,4110
20,1031340,102,4110
21,1064143,102,4110
22,2067198,102,4110
23,1019110,102,4110
24,1067278,102,4110
25,2033401,102,4110
26,6071195,110,4110
27,6100167,102,4110
28,6026354,102,4110
29,2067034,102,4110
30,7002312,102,4110
31,2012117,104,4110
32,7005127,102,4110
33,2027167,102,4110
34,6087292,102,4110
35,6099332,102,4110
36,6094323,102,4110
37,1002240,102,4110
39,2018295,102,4110
40,6072193,110,4111
41,6103264,102,4110
42,1002351,102,4110
43,6098102,102,4110
44,6019367,102,4110
45,5048098,102,4110
46,4013090,102,4110
47,7010092,102,4110
48,2067064,102,4110
49,5029235,104,4110
50,2027145,104,4110
51,2031030,102,4110
52,1065192,102,4110
53,1029196,102,4110
54,1072030,102,4110
55,4046236,102,4110
56,1069004,102,4110
57,6098279,102,4110
58,6091279,102,4110
59,7001440,102,4110
60,6013157,102,4110
61,2054210,102,4110
62,2027198,102,4110
63,2051139,104,4110
64,6091124,102,4117
65,6098109,104,4110
66,4003343,104,4110
66,7002087,104,4110
68,7001242,104,4110
70,6019043,104,4110
71,6087052,110,4110
72,2028337,104,4110
73,2040165,104,4110
74,1027238,102,4111
75,1064238,104,4110
76,2031343,104,4110
77,1001059,104,4110
78,2001266,104,5216
79,1018142,104,4110
80,6105264,104,4110
81,7021165,104,4110
82,1004020,104,4110
84,6091157,104,4110
85,6015109,104,4110
86,4008100,104,4110
87,6102001,110,4110
89,2006197,104,4110
90,1013179,104,4110
91,6100155,104,4110
92,2068021,104,4110
94,6060164,102,4111
95,2067051,104,4110
96,1068010,104,4110
98,2049220,104,4110
99,6095073,104,4110
100,1056069,102,4111
101,5029104,104,4110
102,1067207,104,4110
103,1070342,104,4110
104,3020043,104,4110
104,1039093,104,4110
106,6091248,110,4110
107,6015079,109,4110
108,1029289,102,4111
110,6048041,110,4110
111,7039276,104,5216
112,6101213,110,4110
113,7029126,109,4110
116,2041039,109,4110
117,4003193,104,5216
118,1028144,102,4111
119,4001084,102,4111
120,5026318,109,4110
121,4004146,109,4110
122,7020195,102,4111
123,2053187,109,4110
124,1040202,109,4110
125,7002190,102,4111
127,6091003,110,4110
129,4009175,104,5216
129,1071076,104,5216
131,6031135,110,4110
132,1034141,102,4111
133,1016039,102,4111
134,6092084,110,4110
135,1027085,109,4110
136,6068058,110,4110
137,1040335,102,4111
138,6015182,110,4110
139,2021346,104,5216
140,2033029,104,5216
