Rank,RollNo,InstituteCode,BranchCode
1,7022035,102,4110
2,2067089,102,4110
3,2091172,104,4110
4,2088331,102,4110
5,6033492,102,4110
6,2086002,102,4110
7,5009144,102,4110
8,1059368,102,4110
9,2054057,102,4110
10,7021039,102,4110
11,6098129,102,4110
12,1061342,102,4110
13,1003121,102,4110
14,6126172,102,4110
15,6090133,102,4110
16,7022039,102,4110
17,2046059,102,4110
18,7005160,102,4110
19,2017065,102,4110
20,2068088,102,4110
21,2058178,102,4110
22,2059149,102,4110
23,2057061,104,4110
24,2023076,102,4110
25,1093062,102,4110
26,6118135,102,4110
27,7013192,102,4110
28,6125129,102,4110
29,1062130,102,4110
30,1096199,102,4110
31,6096138,102,4110
32,2015023,102,4110
33,1095172,102,4110
34,2068080,102,4110
35,2020072,102,4110
36,7022040,104,4110
37,6109137,102,4110
38,6119138,102,4110
39,1008013,102,4110
40,6097111,102,4110
41,6093138,102,4110
42,2062059,102,4110
43,1029097,102,4111
44,2014094,102,4110
45,2090098,102,4110
46,2076080,102,4110
47,2089148,102,4110
48,5015083,102,4110
49,6034220,102,4110
50,7016223,102,4110
51,6072179,110,4110
52,7001216,102,4110
53,1060129,102,4110
54,6033135,102,4110
55,6110112,102,4110
56,6072183,110,4110
57,6125138,102,4110
58,2089260,102,4110
59,2054149,102,4110
60,5026162,104,4110
61,2089252,104,4110
62,6108074,104,4110
63,2004167,104,4110
64,2022061,104,4110
65,6119133,104,4110
66,7013221,104,4110
67,6077183,110,4110
68,6038092,104,4110
69,2044151,104,4110
70,2043110,104,4110
71,6015035,110,4110
72,1016080,104,4110
73,7013115,104,4110
74,6077167,110,4110
75,2015085,104,4110
76,2021158,104,4110
77,1057244,102,4111
80,1020001,102,4110
81,6094158,104,4110
82,5042137,104,4110
83,1012140,104,4110
84,7014237,104,4110
85,6056186,102,4117
86,2054045,104,4110
87,7016248,104,4110
90,7021049,104,4110
91,6077104,102,4111
92,5066091,106,4110
93,1004110,104,4110
94,6034100,110,4110
95,7014343,104,4110
96,1060112,102,4111
97,2017145,104,4110
98,6107177,104,4110
99,2085177,104,4110
100,2079124,104,4110
101,1082080,104,5216
102,2074097,102,4111
103,2047136,109,4110
104,5058141,109,4110
105,7021052,104,5216
106,1005013,102,4110
107,2063142,109,4110
108,6034099,110,4110
109,7021090,109,4110
110,6125110,110,4110
111,5036164,102,4111
112,2004041,104,4110
113,1028109,110,4110
114,7023287,104,5216
115,1004158,110,4110
116,2010250,109,4110
117,6091082,110,4110
118,1025124,102,4111
119,7018099,104,5216
121,2066052,109,4110
122,5028066,109,4110
123,2082018,110,4110
124,1059287,102,4111
125,2046068,110,4110
126,2063049,109,4110
127,2076089,102,4111
128,7003155,102,4111
129,6038121,110,4110
131,1061339,102,4111
132,6036246,110,4110
133,7008078,104,5216
134,7019089,110,4110
135,2014230,109,4110
136,7019085,109,4110
137,7002015,102,4110
138,2048050,110,4110
139,6115125,110,4110
