RANK,ROLL No,Inst Code,Branch Code
1,1054133,102,4110
2,2012254,104,4110
3,2012176,104,4110
4,6141146,102,4110
5,6119205,102,4110
6,2054104,102,4110
7,1016196,102,4110
8,6152147,102,4110
9,2010077,104,4110
10,1006012,102,4110
11,2043248,102,4110
12,6151247,102,4110
13,6045197,102,4110
14,2011464,102,4110
16,2072075,102,4110
17,7023447,102,4110
18,1077116,102,4110
19,2066074,102,4110
20,2001160,104,4110
21,6116146,102,4110
22,7016159,102,4110
23,6124145,102,4110
24,4010133,102,4110
25,2086276,102,4110
26,2041134,102,4110
27,6124213,102,4110
28,3004182,102,4110
29,5028080,102,4110
30,5030143,102,4110
31,6152149,102,4110
32,1051258,102,4110
33,6100157,102,4110
34,1056330,102,4110
35,2055285,102,4110
36,7019137,102,4110
37,2003160,104,4110
38,2006432,104,4110
39,6137146,102,4110
40,6140162,102,4110
41,2021100,104,4110
42,5048085,102,4110
43,6116150,102,4110
44,6150001,102,4110
45,1054180,102,4110
46,2042389,102,4110
47,6132148,102,4110
48,5052052,102,4110
49,7041309,102,4110
50,6053180,102,4110
51,5039124,102,4110
52,2066094,102,4110
53,2066066,102,4110
54,2011679,102,4110
55,1087071,102,4110
56,6131175,102,4110
57,6140171,102,4110
58,5040179,102,4110
59,2015044,104,4110
60,7006097,104,4110
61,4012224,102,4110
62,4012355,102,4110
63,6119148,102,4110
64,6116172,102,4110
65,6045196,104,4110
66,6145202,104,4110
67,2086207,104,4110
68,7007109,104,4110
69,5035060,104,4110
70,2067063,104,4110
71,1077467,102,4111
72,2020048,104,4110
73,2086126,104,4110
74,1006078,104,4110
75,1015093,104,4110
76,2064062,104,4110
77,3009035,102,4110
78,4004109,104,4110
79,1054001,102,4110
80,5076149,104,4110
81,6151146,102,4110
82,2001117,104,4110
83,5042209,104,4110
84,6142147,104,4110
85,4009230,104,4110
86,4004066,104,4110
87,2079112,104,4110
88,1054212,102,4111
89,6148188,104,4110
90,6068211,110,4110
91,1081098,104,4110
92,6051208,104,4110
93,4003088,104,4110
94,7002132,102,4111
95,2030088,109,4110
96,6143149,102,4110
97,2017032,104,4124
99,7005065,109,4110
100,6049205,102,4111
101,2075184,102,4110
102,7022153,109,4110
104,1080110,110,4110
105,1004077,102,4111
106,2021059,110,4110
107,2019199,109,4110
108,7020129,102,4111
109,1077362,102,4111
110,1051126,109,4110
111,6152197,110,4110
112,6134108,110,4110
113,6125179,110,4110
114,2054064,109,4110
115,6042200,110,4110
116,2069145,109,4110
117,1086191,110,4110
118,1051254,109,4110
119,7020073,109,4110
120,2028082,104,5216
121,2066062,109,4110
122,7015164,102,4111
123,4042150,109,4110
125,6043199,110,4110
126,2041081,109,4110
127,2087132,102,4110
128,5035066,109,4110
129,4034132,109,4110
130,2008266,104,5216
131,7014324,104,5216
132,6015042,110,4110
133,2052154,102,4110
134,2018102,110,4110
136,1082170,110,4110
137,1075078,102,4111
138,7015468,104,5216
139,7018445,102,4110
140,6098127,102,4110
141,2027330,104,5216
142,7004191,109,4110
143,7024058,104,5216
144,1053166,110,4110
145,2087124,109,4110
146,2026258,104,5216
147,1041119,110,4110
148,2015084,104,5216
149,6041229,102,4110
150,6020383,104,4110
151,6146171,110,4110
152,6139185,110,4110
153,7022044,104,5216
154,6023116,102,4110
155,1017128,110,4110
156,6043039,102,4110
157,6115175,110,4110
158,1056091,109,4110
159,1006215,110,4110
160,2011286,104,5216
161,5065243,109,4110
162,2031138,104,4110
163,6151181,110,4110
164,6049407,110,4110
165,2073051,110,4110
166,6046209,110,4110
167,6138150,110,4110
168,2077270,109,4110
169,6118147,110,4110
170,2056095,109,4110
171,6043280,102,4111
173,4015243,104,4110
174,6045314,104,4110
175,2026251,109,4110
176,2022062,109,4110
177,7023417,104,5216
178,6147235,102,4110
179,2085121,109,4110
180,1017085,110,4110
181,2069233,109,4110
182,6071119,110,4111
183,2015083,104,5216
184,6133242,102,4110
185,2053107,109,4110
186,6149179,102,4110
187,7042121,102,4110
188,6049260,110,4110
189,2033083,109,4110
190,1053115,104,4124
191,2025165,109,4110
192,2085135,104,5216
193,1004072,104,4124
194,4040075,109,4110
196,2066048,102,4125
197,2029086,109,4110
198,1077136,102,4111
199,6129048,102,4110
201,2026275,109,4110
202,2068111,109,4110
203,6042202,107,4110
204,6120236,106,4110
205,2086270,109,4110
206,2073104,102,4111
207,6143150,102,4110
208,7018411,109,4110
209,2026219,109,4110
210,2072065,109,4110
211,1081181,109,4110
212,2087076,109,4110
213,6131184,106,4110
214,4015103,109,4110
215,6148185,106,4110
216,2067137,109,4110
217,1077334,109,4110
218,6126027,102,4110
219,7017121,102,4111
220,7003170,102,4111
221,2063152,106,4110
222,2036109,104,4124
223,2001188,106,4110
224,6129147,102,4110
225,2086101,104,4124
226,2063071,106,4110
227,6149195,106,4110
228,1055178,102,4111
229,2035125,106,4110
230,6145191,106,4110
231,1042104,102,4111
232,1023235,106,4110
233,2026014,104,4110
234,1086183,113,4110
235,2065068,104,4124
236,2036079,104,4124
237,2087264,104,4124
238,7003219,106,4110
239,1090280,104,4124
240,1003127,102,4111
241,2008269,104,4124
242,2078164,106,4110
243,6117163,104,5254
244,2005394,104,4124
245,1048101,102,4111
246,7021153,106,4110
