Rank,RollNo,Institute Code,Branch Code
2,6107225,102,4110
3,2103106,102,4110
6,6190048,102,4110
7,1160124,102,4110
8,1101497,102,4110
9,7017018,102,4110
10,7004034,102,4110
11,1004451,102,4110
12,2054201,102,4110
13,6230027,102,4110
14,6104287,102,4110
15,2101207,102,4110
17,7088214,102,4110
18,2102036,102,4110
19,7077085,102,4110
20,2063206,102,4110
21,2002194,102,4110
22,6235079,102,4110
23,7035094,102,4110
24,4060045,102,4110
25,5075107,102,4111
26,2086047,102,4110
27,6202292,102,4110
28,2055012,102,4110
29,5051154,102,4110
30,1158119,102,4110
31,2018146,104,4110
32,6105091,102,4110
33,2022040,104,4110
34,1102113,102,4110
35,2019225,102,4110
36,2102331,102,4110
37,2018133,104,4110
38,1101476,102,4110
39,5055205,102,4110
40,6093071,102,4110
41,2107120,102,4110
42,2046079,104,4110
43,1107069,102,4110
44,6206137,102,4110
45,6076128,102,4110
46,1084116,102,4110
47,6110005,102,4110
48,6193338,102,4110
49,6158181,110,4110
50,6228071,102,4110
51,6193136,102,4110
52,5037031,102,4110
53,1103265,102,4110
54,7032444,102,4110
55,1004397,102,4110
56,6160071,102,4110
57,6029051,102,4110
58,6223026,102,4110
59,1102402,102,4110
60,6091102,102,4110
62,1006032,102,4110
63,2100387,102,4110
64,1006022,102,4110
65,7016201,104,4110
66,1165016,102,4110
67,2028102,104,4110
68,7039166,104,4110
69,5089325,104,4110
70,4009118,104,4110
71,7037124,104,4110
72,7017049,104,4110
73,5070131,104,4110
74,6207055,102,4110
75,6159116,110,4110
76,1007042,104,4110
77,2081680,104,4110
78,1103025,102,4111
79,6104028,110,4110
80,6193124,104,4110
81,1176121,104,4110
82,2078385,104,4110
83,7036088,104,4110
84,2011063,104,4110
85,6028021,104,4110
86,6165006,110,4110
87,7031232,104,4110
88,7053038,104,4110
89,7034128,104,4110
90,6091012,110,4110
92,1024123,102,4111
94,1032159,104,4110
95,1142141,104,4110
96,7005086,104,4110
97,2028084,104,4110
98,4059099,104,4110
99,1004469,110,4110
100,5039003,104,4110
101,1119028,104,4110
102,6023078,110,4110
103,1038026,102,4111
104,2100247,104,4110
105,5035493,104,4110
106,6211080,110,4110
108,2046213,104,5216
110,6202126,102,4110
111,2040001,109,4110
113,6105066,110,4110
114,6185259,110,4110
115,7035064,104,5216
116,6172018,110,4110
118,2055190,104,5216
119,2072142,109,4110
121,1134242,110,4110
122,2101430,109,4110
123,1103174,102,4111
124,6048085,102,4110
125,7029019,104,5216
126,6162071,110,4110
127,2055753,104,5216
128,1157116,102,4206
130,1018006,110,4110
131,7090077,109,4110
133,4008179,110,4110
134,2104140,110,4110
135,1115003,110,4110
136,6199048,110,4110
